input_size,compressed_size,p,level
1048576,55,0.0,1
1048576,269011,0.025,1
1048576,382010,0.05,1
1048576,460165,0.075,1
1048576,528002,0.1,1
1048576,590850,0.125,1
1048576,654758,0.15,1
1048576,713484,0.175,1
1048576,770296,0.2,1
1048576,814813,0.225,1
1048576,857298,0.25,1
1048576,895262,0.275,1
1048576,929539,0.3,1
1048576,961982,0.325,1
1048576,985557,0.35,1
1048576,1004837,0.375,1
1048576,1022191,0.4,1
1048576,1048614,0.425,1
1048576,1048614,0.45,1
1048576,1048614,0.475,1
1048576,1048614,0.5,1
1048576,1048614,0.525,1
1048576,1048614,0.55,1
1048576,1048614,0.575,1
1048576,1022039,0.6,1
1048576,1004835,0.625,1
1048576,985473,0.65,1
1048576,962181,0.675,1
1048576,928968,0.7,1
1048576,895241,0.725,1
1048576,857812,0.75,1
1048576,814977,0.775,1
1048576,770237,0.8,1
1048576,713306,0.825,1
1048576,654460,0.85,1
1048576,591465,0.875,1
1048576,527389,0.9,1
1048576,459866,0.925,1
1048576,381979,0.95,1
1048576,269331,0.975,1
1048576,55,1.0,1
1048576,54,0.0,2
1048576,276443,0.025,2
1048576,396478,0.05,2
1048576,479107,0.075,2
1048576,546320,0.1,2
1048576,607797,0.125,2
1048576,663278,0.15,2
1048576,713578,0.175,2
1048576,770295,0.2,2
1048576,814812,0.225,2
1048576,857297,0.25,2
1048576,895261,0.275,2
1048576,929538,0.3,2
1048576,961981,0.325,2
1048576,985556,0.35,2
1048576,1004836,0.375,2
1048576,1022190,0.4,2
1048576,1048613,0.425,2
1048576,1048613,0.45,2
1048576,1048613,0.475,2
1048576,1048613,0.5,2
1048576,1048613,0.525,2
1048576,1048613,0.55,2
1048576,1048613,0.575,2
1048576,1022038,0.6,2
1048576,1004834,0.625,2
1048576,985472,0.65,2
1048576,962180,0.675,2
1048576,928967,0.7,2
1048576,895240,0.725,2
1048576,857811,0.75,2
1048576,814976,0.775,2
1048576,770236,0.8,2
1048576,713383,0.825,2
1048576,662818,0.85,2
1048576,608102,0.875,2
1048576,546096,0.9,2
1048576,478671,0.925,2
1048576,396122,0.95,2
1048576,276603,0.975,2
1048576,54,1.0,2
1048576,54,0.0,3
1048576,268365,0.025,3
1048576,397150,0.05,3
1048576,495818,0.075,3
1048576,571328,0.1,3
1048576,632070,0.125,3
1048576,683839,0.15,3
1048576,728454,0.175,3
1048576,772393,0.2,3
1048576,814831,0.225,3
1048576,857297,0.25,3
1048576,895261,0.275,3
1048576,929538,0.3,3
1048576,961981,0.325,3
1048576,985556,0.35,3
1048576,1004836,0.375,3
1048576,1022190,0.4,3
1048576,1048613,0.425,3
1048576,1048613,0.45,3
1048576,1048613,0.475,3
1048576,1048613,0.5,3
1048576,1048613,0.525,3
1048576,1048613,0.55,3
1048576,1048613,0.575,3
1048576,1022038,0.6,3
1048576,1004834,0.625,3
1048576,985472,0.65,3
1048576,962180,0.675,3
1048576,928967,0.7,3
1048576,895240,0.725,3
1048576,857811,0.75,3
1048576,815000,0.775,3
1048576,772429,0.8,3
1048576,728920,0.825,3
1048576,683421,0.85,3
1048576,632167,0.875,3
1048576,571374,0.9,3
1048576,495636,0.925,3
1048576,396432,0.95,3
1048576,268887,0.975,3
1048576,54,1.0,3
1048576,54,0.0,4
1048576,268498,0.025,4
1048576,396292,0.05,4
1048576,496790,0.075,4
1048576,575703,0.1,4
1048576,638210,0.125,4
1048576,690391,0.15,4
1048576,734647,0.175,4
1048576,774856,0.2,4
1048576,814831,0.225,4
1048576,857297,0.25,4
1048576,895261,0.275,4
1048576,929538,0.3,4
1048576,961981,0.325,4
1048576,985556,0.35,4
1048576,1004836,0.375,4
1048576,1022190,0.4,4
1048576,1048613,0.425,4
1048576,1048613,0.45,4
1048576,1048613,0.475,4
1048576,1048613,0.5,4
1048576,1048613,0.525,4
1048576,1048613,0.55,4
1048576,1048613,0.575,4
1048576,1022038,0.6,4
1048576,1004834,0.625,4
1048576,985472,0.65,4
1048576,962180,0.675,4
1048576,928967,0.7,4
1048576,895243,0.725,4
1048576,857811,0.75,4
